Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Date,USDINR,USDSGD,Price_INR,Price_SGD,Split_Adjusted_Close
Trades,Data,Order,Stocks,USD,MARA,"2024-11-15, 14:46:29",-400.0,20.85,21.07,8340.0,-2.52602268,-9888.211392,-1550.737414,-88.0,C,2024-11-15,84.43,1.3405,1760.3655000000003,27.949425,21.06999969482422
Trades,Data,Order,Stocks,USD,TSLA,"2024-11-18, 09:30:01",-50.0,340.68,338.74,17034.0,-1.61782727,-13000.545,4031.837173,97.0,C,2024-11-18,84.42,1.3444,28760.2056,458.010192,338.739990234375
Trades,Data,Order,Stocks,USD,MARA,"2024-11-18, 09:41:43",500.0,19.98,18.105,-9990.0,-2.75116,9992.75116,0.0,-937.5,O;P,2024-11-18,84.42,1.3444,1686.7116,26.861112000000002,18.110000610351562
Trades,Data,Order,Stocks,USD,MARA,"2024-11-18, 10:33:17",-500.0,20.2,18.105,10100.0,-3.1476802,-10241.29616,-144.44384,1047.5,C,2024-11-18,84.42,1.3444,1705.2839999999999,27.15688,18.110000610351562
Trades,Data,Order,Stocks,USD,MARA,"2024-11-20, 09:45:52",400.0,21.2378,22.63,-8495.12,-2.211392,8497.331392,0.0,556.88,IM;O;P,2024-11-20,84.36,1.3419,1791.620808,28.499003820000002,22.6299991607666
Trades,Data,Order,Stocks,USD,MARA,"2024-11-20, 09:47:08",-400.0,21.5,22.63,8600.0,-2.5339012,-7993.655928,603.810172,-452.0,C,2024-11-20,84.36,1.3419,1813.74,28.85085,22.6299991607666
Trades,Data,Order,Stocks,USD,IBIT,"2024-11-20, 10:36:27",200.0,54.0,53.72,-10800.0,-1.100464,10801.100464,0.0,-56.0,O,2024-11-20,84.36,1.3419,4555.44,72.46260000000001,53.720001220703125
Trades,Data,Order,Stocks,USD,IBIT,"2024-11-21, 13:00:02",-200.0,56.0,55.9,11200.0,-1.4760344,-5509.635,5688.888966,20.0,C;P,2024-11-21,84.48,1.3437,4730.88,75.24719999999999,55.900001525878906
Trades,Data,Order,Stocks,USD,MARA,"2024-11-25, 15:45:00",400.0,26.205,26.42,-10482.0,-2.211392,10484.211392,0.0,86.0,O;P,2024-11-25,84.29,1.3462,2208.81945,35.277171,26.420000076293945
Trades,Data,Order,Stocks,USD,MARA,"2024-11-25, 15:55:31",-400.0,26.4,26.42,10560.0,-2.59329312,-8497.331392,2060.075315,-8.0,C,2024-11-25,84.29,1.3462,2225.256,35.53968,26.420000076293945
Trades,Data,Order,Stocks,USD,MARA,"2024-11-26, 14:51:25",400.0,25.0,24.97,-10000.0,-2.200928,10002.200928,0.0,-12.0,O,2024-11-26,84.3,1.3451,2107.5,33.6275,24.969999313354492
Trades,Data,Order,Stocks,USD,MARA,"2024-11-26, 15:06:05",-400.0,25.22,24.97,10088.0,-2.57899058,-10484.211392,-398.790383,100.0,C;P,2024-11-26,84.3,1.3451,2126.046,33.923421999999995,24.969999313354492
